,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,FILENAME,COLLECTION,NEIGHBORHOOD
19079,2018-08-31,Townhouse,23227 Sesame St,Torrance,CA,90502.0,320000,2.0,1.0,872.0,182087.0,1974.0,524.0,367.0,236.0,CV18167056,33.8142333,-118.288999,torrance_townhouse-0-600K.csv,2,Torrance
3693,2018-08-31,Townhouse,23227 Sesame St,Torrance,CA,90502.0,320000,2.0,1.0,872.0,182087.0,1974.0,512.0,367.0,236.0,CV18167056,33.8142333,-118.288999,carson_nosfh_nocondo.csv,1,Carson
16736,2020-01-17,Condo/Co-op,23230 Sesame St Unit 10-H,Torrance,CA,90502.0,382000,2.0,2.0,852.0,313204.0,1973.0,20.0,448.0,264.0,19-531692,33.8148111,-118.28834669999999,torrance_condos-0_to_500K.csv,2,Torrance
10510,2020-01-17,Condo/Co-op,23230 Sesame St Unit 10-H,Torrance,CA,90502.0,382000,2.0,2.0,852.0,313204.0,1973.0,8.0,448.0,264.0,19-531692,33.8148111,-118.28834669999999,carson_condos.csv,1,Carson
10506,2018-04-04,Condo/Co-op,23232 S Vermont Ave,Torrance,CA,90502.0,355000,2.0,1.0,872.0,182087.0,1974.0,661.0,407.0,308.0,CV17270620,33.814553000000004,-118.28948899999999,carson_condos.csv,1,Carson
16732,2018-04-04,Condo/Co-op,23232 S Vermont Ave,Torrance,CA,90502.0,355000,2.0,1.0,872.0,182087.0,1974.0,673.0,407.0,308.0,CV17270620,33.814553000000004,-118.28948899999999,torrance_condos-0_to_500K.csv,2,Torrance
3543,2018-11-15,Townhouse,23236 Sesame St Unit D,Torrance,CA,90502.0,355000,2.0,1.5,852.0,313204.0,1973.0,436.0,417.0,263.0,PV18242952,33.8148064,-118.28833459999998,carson_nosfh_nocondo.csv,1,Carson
19035,2018-11-15,Townhouse,23236 Sesame St Unit D,Torrance,CA,90502.0,355000,2.0,1.5,852.0,313204.0,1973.0,448.0,417.0,263.0,PV18242952,33.8148064,-118.28833459999998,torrance_townhouse-0-600K.csv,2,Torrance
3552,2018-04-25,Townhouse,23236 Sesame St Unit E,Torrance,CA,90502.0,355000,2.0,1.5,852.0,313204.0,1973.0,640.0,417.0,298.0,PV18050575,33.8148064,-118.28833459999998,carson_nosfh_nocondo.csv,1,Carson
19072,2018-04-25,Townhouse,23236 Sesame St Unit E,Torrance,CA,90502.0,355000,2.0,1.5,852.0,313204.0,1973.0,652.0,417.0,298.0,PV18050575,33.8148064,-118.28833459999998,torrance_townhouse-0-600K.csv,2,Torrance
19083,2018-02-16,Townhouse,2324 241St St,Lomita,CA,90717.0,550000,3.0,2.5,1312.0,96902.0,1989.0,720.0,419.0,165.0,WS17227842,33.805816899999996,-118.3233206,torrance_townhouse-0-600K.csv,2,Torrance
3320,2018-02-16,Townhouse,2324 241St St,Lomita,CA,90717.0,550000,3.0,2.5,1312.0,96902.0,1989.0,708.0,419.0,165.0,WS17227842,33.805816899999996,-118.3233206,lomita_01_nosfh.csv,1,Lomita
16708,2018-07-10,Condo/Co-op,23300 Marigold Ave Unit Z102,Torrance,CA,90502.0,369000,2.0,1.0,796.0,209768.0,1973.0,576.0,464.0,294.0,PV18131076,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
10554,2018-07-10,Condo/Co-op,23300 Marigold Ave Unit Z102,Torrance,CA,90502.0,369000,2.0,1.0,796.0,209768.0,1973.0,564.0,464.0,294.0,PV18131076,33.813744,-118.2949,carson_condos.csv,1,Carson
10536,2019-04-05,Condo/Co-op,23300 Marigold Ave Unit Z201,Torrance,CA,90502.0,328000,2.0,1.0,796.0,209768.0,1973.0,295.0,412.0,294.0,SB18172874,33.813744,-118.2949,carson_condos.csv,1,Carson
16759,2019-04-05,Condo/Co-op,23300 Marigold Ave Unit Z201,Torrance,CA,90502.0,328000,2.0,1.0,796.0,209768.0,1973.0,307.0,412.0,294.0,SB18172874,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
10731,2019-07-30,Condo/Co-op,23300 Marigold Ave Unit Z202,Torrance,CA,90502.0,340000,2.0,1.0,796.0,209768.0,1973.0,179.0,427.0,331.0,PV19124667,33.813744,-118.2949,carson_condos.csv,1,Carson
16534,2019-07-30,Condo/Co-op,23300 Marigold Ave Unit Z202,Torrance,CA,90502.0,340000,2.0,1.0,796.0,209768.0,1973.0,191.0,427.0,331.0,PV19124667,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
16709,2019-06-28,Condo/Co-op,23300 Marigold Ave Unit Z203,Torrance,CA,90502.0,338000,2.0,1.0,796.0,209768.0,1973.0,223.0,425.0,315.0,SB19070040,33.813744,-118.2949,torrance_condos-0_to_500K.csv,2,Torrance
10555,2019-06-28,Condo/Co-op,23300 Marigold Ave Unit Z203,Torrance,CA,90502.0,338000,2.0,1.0,796.0,209768.0,1973.0,211.0,425.0,315.0,SB19070040,33.813744,-118.2949,carson_condos.csv,1,Carson
16733,2019-05-15,Condo/Co-op,23300 Sesame St Unit B,Torrance,CA,90502.0,230000,0.0,1.0,415.0,313239.0,1973.0,267.0,554.0,245.0,PW18274857,33.814806,-118.288335,torrance_condos-0_to_500K.csv,2,Torrance
10507,2019-05-15,Condo/Co-op,23300 Sesame St Unit B,Torrance,CA,90502.0,230000,0.0,1.0,415.0,313239.0,1973.0,255.0,554.0,245.0,PW18274857,33.814806,-118.288335,carson_condos.csv,1,Carson
16751,2018-03-02,Condo/Co-op,23300 Sesame St Unit C,Torrance,CA,90502.0,222000,0.0,1.0,415.0,313202.0,1973.0,706.0,535.0,246.0,18-301630,33.814806,-118.288335,torrance_condos-0_to_500K.csv,2,Torrance
