SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,PRICE,ZIP OR POSTAL CODE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,NEIGHBORHOOD
2018-09-07,Single Family Residential,524 E Q St,Wilmington,529000,90744,4.0,2.0,1674.0,5016.0,1960,505.0,316.0,0.0,DW18165414,33.795540100000004,-118.2572762,Wilmington
2019-12-27,Single Family Residential,1410 E M St,Wilmington,467500,90744,4.0,2.0,1363.0,4697.0,1956,29.0,343.0,0.0,DW19217103,33.7892531,-118.2461524,Wilmington
2019-07-19,Single Family Residential,1115 W Lowen St,Wilmington,538000,90744,4.0,2.0,1520.0,5615.0,1952,190.0,354.0,0.0,SB19063596,33.795337599999996,-118.2770209,Wilmington
2018-06-20,Townhouse,1011 Alton St,Wilmington,440000,90744,4.0,2.0,1340.0,4759.0,1928,584.0,328.0,0.0,PW17268264,33.77729179999999,-118.2744287,Wilmington
2018-04-24,Single Family Residential,828 Bay View Ave,Wilmington,500000,90744,4.0,1.5,1295.0,7513.0,1955,641.0,386.0,0.0,PV18050453,33.7804097,-118.26971090000002,Wilmington
2019-11-15,Single Family Residential,324 W I St,Wilmington,500000,90744,4.0,2.0,1794.0,8212.0,1887,71.0,279.0,0.0,CV19182829,33.7806125,-118.2657499,Wilmington
2019-11-21,Single Family Residential,1207 East M St,Wilmington,510000,90744,4.0,2.0,1802.0,4806.0,1959,65.0,283.0,0.0,SW19128989,33.7894485,-118.24843659999999,Wilmington
2020-01-17,Single Family Residential,1213 W Opp St,Wilmington,545000,90744,5.0,3.0,1885.0,5704.0,1955,8.0,289.0,0.0,OC19182650,33.7822903,-118.2776489,Wilmington
2018-12-19,Single Family Residential,1335 W Papeete St,Wilmington,400000,90744,4.0,3.0,1615.0,7385.0,1976,402.0,248.0,0.0,SR18190664,33.7871344,-118.2806909,Wilmington
2019-03-01,Single Family Residential,1447 Island Ave,Wilmington,586900,90744,4.0,1.75,1672.0,5534.0,1978,330.0,351.0,0.0,SB18294898,33.792403799999995,-118.26739429999999,Wilmington
2019-03-14,Single Family Residential,1730 Lakme Ave,Wilmington,520000,90744,4.0,2.0,1232.0,5431.0,1952,317.0,422.0,0.0,DW19014099,33.7985329,-118.2608165,Wilmington
2019-02-22,Single Family Residential,1119 E Young St,Wilmington,599000,90744,7.0,4.0,3040.0,5394.0,2007,337.0,197.0,0.0,PV18121103,33.7867263,-118.24889340000001,Wilmington
2018-11-09,Single Family Residential,25327 Mccoy Ave,Harbor City,595000,90710,5.0,3.0,3290.0,6000.0,1989,442.0,181.0,0.0,SB18138911,33.793930100000004,-118.2901409,Wilmington
2018-09-21,Townhouse,924 N Gulf Ave N,Wilmington,569000,90744,4.0,3.0,1960.0,7514.0,1927,491.0,290.0,0.0,DW18143860,33.781682,-118.272704,Wilmington
2019-02-22,Single Family Residential,910 Craven St,Wilmington,490000,90744,4.0,2.0,1328.0,3218.0,1963,337.0,369.0,0.0,SB18284488,33.7755568,-118.27301270000001,Wilmington
2019-03-05,Single Family Residential,1107 W F St,Wilmington,465000,90744,4.0,3.0,1528.0,4232.0,1959,326.0,304.0,0.0,PW18256938,33.7765551,-118.2756163,Wilmington
2018-04-09,Single Family Residential,1029 Flint Ave,Wilmington,505000,90744,4.0,2.0,1522.0,5604.0,1958,656.0,332.0,0.0,PW18044182,33.7844463,-118.24967009999999,Wilmington
2019-06-11,Single Family Residential,2518 W 154Th St,Gardena,730000,90249,3.0,2.0,1264.0,6931.0,1943,228.0,578.0,0.0,SB19105720,33.8908575,-118.3213324,Gardena
2019-08-26,Single Family Residential,14418 Cobblestone Ln,Gardena,605000,90247,3.0,3.5,1911.0,8571.0,2005,152.0,317.0,139.0,SB19169529,33.9003242,-118.29617959999999,Gardena
2019-02-28,Single Family Residential,1119 W 145Th St,Gardena,525000,90247,3.0,1.5,1043.0,5712.0,1953,331.0,503.0,0.0,18-417130,33.8998089,-118.2947537,Gardena
2018-10-11,Single Family Residential,14980 Miller Ave,Gardena,579000,90249,2.0,1.0,1189.0,5000.0,1941,471.0,487.0,0.0,SB18199242,33.8956758,-118.3243463,Gardena
2018-10-18,Single Family Residential,2916 W 141St St,Gardena,610000,90249,4.0,2.0,1674.0,5685.0,1957,464.0,364.0,0.0,SB18214605,33.9035988,-118.32471159999999,Gardena
2018-07-31,Single Family Residential,15920 Chanera Ave,Gardena,725000,90249,4.0,2.0,2059.0,5251.0,1952,543.0,352.0,0.0,SB18152727,33.885887,-118.3239316,Gardena
