,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,FILENAME,COLLECTION,NEIGHBORHOOD
15989,2019-12-03,Single Family Residential,111 Via Monte Doro,Redondo Beach,CA,90277.0,1707000,4.0,2.75,2216.0,7102.0,1953.0,65.0,770.0,0.0,PV19247602,33.813979499999995,-118.3847482,redondo_sfh-4_plus_beds.csv,2,Redondo Beach
13584,2019-12-03,Single Family Residential,111 Via Monte Doro,Redondo Beach,CA,90277.0,1707000,4.0,2.75,2216.0,7102.0,1953.0,65.0,770.0,0.0,PV19247602,33.813979499999995,-118.3847482,torrance_sfh-4beds-900K-plus.csv,2,Torrance
17565,2018-07-19,Single Family Residential,111 Via Sego,Redondo Beach,CA,90277.0,1268900,3.0,2.0,1822.0,5825.0,1954.0,567.0,696.0,0.0,SB18092441,33.8109222,-118.37616240000001,redondo_sfh-0-3_beds_1M_plus.csv,2,Redondo Beach
13956,2018-07-19,Single Family Residential,111 Via Sego,Redondo Beach,CA,90277.0,1268900,3.0,2.0,1822.0,5825.0,1954.0,567.0,696.0,0.0,SB18092441,33.8109222,-118.37616240000001,torrance_sfh-900K-plus.csv,2,Torrance
8844,2018-07-20,Townhouse,11100 11102 S Grevillea Ave,Lennox,CA,90304.0,615000,4.0,2.0,1753.0,5385.0,1947.0,551.0,351.0,0.0,SR17192889,33.9342743,-118.3546598,inglewood_01_noSFH_nocondo.csv,1,Inglewood
5068,2018-07-20,Townhouse,11100 11102 S Grevillea Ave,Lennox,CA,90304.0,615000,4.0,2.0,1753.0,5385.0,1947.0,551.0,351.0,0.0,SR17192889,33.9342743,-118.3546598,lennox.csv,1,Lennox
5867,2018-04-04,Single Family Residential,11139 S Truro,Inglewood,CA,90260.0,475000,3.0,2.0,1461.0,8032.0,1999.0,658.0,325.0,0.0,SB18048579,33.9334499,-118.35836210000001,inglewood_04_sfh_3_beds.csv,1,Inglewood
5078,2018-04-04,Single Family Residential,11139 S Truro,Inglewood,CA,90260.0,475000,3.0,2.0,1461.0,8032.0,1999.0,658.0,325.0,0.0,SB18048579,33.9334499,-118.35836210000001,lennox.csv,1,Lennox
17485,2019-06-20,Single Family Residential,112 Via Sego,Redondo Beach,CA,90277.0,1640000,3.0,2.25,2495.0,8403.0,1953.0,231.0,657.0,0.0,PV19115135,33.8111607,-118.376544,redondo_sfh-0-3_beds_1M_plus.csv,2,Redondo Beach
14031,2019-06-20,Single Family Residential,112 Via Sego,Redondo Beach,CA,90277.0,1640000,3.0,2.25,2495.0,8403.0,1953.0,231.0,657.0,0.0,PV19115135,33.8111607,-118.376544,torrance_sfh-900K-plus.csv,2,Torrance
19477,2018-03-29,Single Family Residential,114 Via Los Altos,Redondo Beach,CA,90277.0,1090000,2.0,1.0,940.0,5105.0,1949.0,679.0,1160.0,0.0,SB18037135,33.811742200000005,-118.3751206,torrance_sfh-0-2-beds.csv,2,Torrance
17404,2018-03-29,Single Family Residential,114 Via Los Altos,Redondo Beach,CA,90277.0,1090000,2.0,1.0,940.0,5105.0,1949.0,679.0,1160.0,0.0,SB18037135,33.811742200000005,-118.3751206,redondo_sfh-0-3_beds_1M_plus.csv,2,Redondo Beach
15758,2018-05-08,Single Family Residential,115 Via Anita,Redondo Beach,CA,90277.0,2299000,6.0,3.0,2902.0,7939.0,1954.0,639.0,792.0,0.0,PW18001317,33.8074193,-118.3878979,redondo_sfh-4_plus_beds.csv,2,Redondo Beach
17979,2018-05-08,Single Family Residential,115 Via Anita,Redondo Beach,CA,90277.0,2299000,6.0,3.0,2902.0,7939.0,1954.0,639.0,792.0,0.0,PW18001317,33.8074193,-118.3878979,torrance_sfh-5-plus-beds.csv,2,Torrance
2294,2018-10-31,Single Family Residential,1152 E 222Nd St,Carson,CA,90745.0,550000,4.0,2.0,1747.0,3319.0,1964.0,451.0,315.0,0.0,SB18216167,33.825247600000004,-118.2530963,carson_sfh_550_to_600K.csv,1,Carson
3092,2018-10-31,Single Family Residential,1152 E 222Nd St,Carson,CA,90745.0,550000,4.0,2.0,1747.0,3319.0,1964.0,451.0,315.0,0.0,SB18216167,33.825247600000004,-118.2530963,carson_sfh_450_to_540K.csv,1,Carson
14022,2018-04-11,Single Family Residential,117 Calle De Arboles,Redondo Beach,CA,90277.0,1775000,3.0,1.75,1413.0,6822.0,1954.0,666.0,1256.0,0.0,SB18048954,33.8047727,-118.3885084,torrance_sfh-900K-plus.csv,2,Torrance
